rk,school,div,str,ofs,dfs,sos
1,Kansas,D1,1.412,1.158,0.820,1.073
2,Duke,D1,1.364,1.217,0.893,1.055
3,Michigan St.,D1,1.349,1.170,0.867,1.069
4,Gonzaga,D1,1.348,1.271,0.942,1.024
5,Baylor,D1,1.335,1.094,0.819,1.060
6,Dayton,D1,1.318,1.169,0.887,1.032
7,San Diego St.,D1,1.312,1.074,0.819,1.028
8,Ohio St.,D1,1.311,1.103,0.841,1.066
9,Arizona,D1,1.305,1.129,0.865,1.054
10,West Virginia,D1,1.305,1.093,0.837,1.070
11,Louisville,D1,1.293,1.123,0.869,1.053
12,Houston,D1,1.278,1.091,0.854,1.046
13,Maryland,D1,1.276,1.105,0.866,1.069
14,BYU,D1,1.275,1.165,0.914,1.045
15,Michigan,D1,1.274,1.125,0.883,1.073
16,Oregon,D1,1.273,1.127,0.885,1.059
17,Florida St.,D1,1.272,1.142,0.898,1.053
18,Butler,D1,1.264,1.041,0.824,1.061
19,Texas Tech,D1,1.262,1.072,0.849,1.057
20,Villanova,D1,1.260,1.102,0.874,1.066
21,Seton Hall,D1,1.257,1.131,0.900,1.065
22,Purdue,D1,1.254,1.026,0.818,1.070
23,Rutgers,D1,1.254,1.056,0.843,1.058
24,Creighton,D1,1.253,1.166,0.931,1.063
25,Iowa,D1,1.250,1.196,0.957,1.067
26,Wisconsin,D1,1.250,1.024,0.820,1.072
27,Colorado,D1,1.247,1.081,0.867,1.054
28,Penn St.,D1,1.246,1.137,0.912,1.061
29,Kentucky,D1,1.242,1.111,0.895,1.049
30,Illinois,D1,1.240,1.079,0.870,1.060
31,Minnesota,D1,1.234,1.087,0.881,1.075
32,Marquette,D1,1.234,1.167,0.945,1.062
33,Florida,D1,1.229,1.068,0.868,1.060
34,Utah St.,D1,1.228,1.079,0.878,1.029
35,Virginia,D1,1.226,0.860,0.702,1.052
36,LSU,D1,1.224,1.201,0.981,1.051
37,Auburn,D1,1.219,1.123,0.922,1.050
38,Stanford,D1,1.217,1.048,0.861,1.043
39,Wichita St.,D1,1.213,1.062,0.876,1.043
