rk,school,div,str,ofs,dfs,sos
1,Villanova,D1,1.392,1.200,0.863,1.028
2,Virginia,D1,1.389,1.011,0.727,1.022
3,Purdue,D1,1.385,1.205,0.870,1.025
4,Michigan St.,D1,1.381,1.139,0.824,1.024
5,Duke,D1,1.362,1.305,0.958,1.030
6,Kansas,D1,1.346,1.183,0.879,1.026
7,Texas Tech,D1,1.333,1.104,0.828,0.996
8,Texas A&M,D1,1.311,1.107,0.844,1.034
9,Arizona St.,D1,1.308,1.295,0.990,1.025
10,West Virginia,D1,1.296,1.190,0.918,0.997
11,Xavier,D1,1.292,1.219,0.943,1.030
12,North Carolina,D1,1.270,1.220,0.961,1.042
13,Tennessee,D1,1.268,1.096,0.864,1.043
14,Florida St.,D1,1.261,1.161,0.921,0.992
15,Gonzaga,D1,1.256,1.205,0.959,1.029
16,Cincinnati,D1,1.254,1.065,0.849,0.980
17,SMU,D1,1.253,1.066,0.850,1.008
18,Arkansas,D1,1.246,1.195,0.959,1.026
19,Miami (FL),D1,1.241,1.040,0.838,0.994
20,Michigan,D1,1.240,1.035,0.835,1.004
21,Creighton,D1,1.240,1.207,0.973,0.994
22,Arizona,D1,1.239,1.155,0.932,1.034
23,Clemson,D1,1.235,1.062,0.860,1.008
24,Seton Hall,D1,1.232,1.161,0.942,1.025
25,Nevada,D1,1.231,1.166,0.947,1.021
26,Wichita St.,D1,1.226,1.149,0.937,1.020
27,Oklahoma,D1,1.223,1.270,1.038,1.022
28,Texas,D1,1.214,0.994,0.818,1.023
29,Maryland,D1,1.205,1.073,0.890,0.996
30,TCU,D1,1.204,1.182,0.982,1.019
31,Virginia Tech,D1,1.203,1.176,0.978,0.978
32,UNLV,D1,1.199,1.222,1.019,0.997
33,Houston,D1,1.198,1.126,0.940,1.001
34,Missouri,D1,1.197,1.102,0.920,1.014
35,Baylor,D1,1.197,1.074,0.897,1.000
36,Notre Dame,D1,1.196,1.093,0.914,0.989
37,Louisville,D1,1.194,1.071,0.897,1.009
38,Ohio St.,D1,1.192,1.091,0.916,1.030
39,Butler,D1,1.191,1.076,0.903,1.021
40,Penn St.,D1,1.187,1.081,0.911,1.007
41,San Diego St.,D1,1.186,1.081,0.912,1.013
42,Southern California,D1,1.181,1.132,0.958,1.030
43,Kansas St.,D1,1.176,1.033,0.878,0.989
44,Western Ky.,D1,1.175,1.105,0.941,1.031
45,Northwestern,D1,1.174,1.041,0.887,1.014
46,Auburn,D1,1.174,1.162,0.990,1.001
47,Northern Ky.,D1,1.171,1.082,0.925,0.978
48,St. John's (NY),D1,1.167,1.027,0.879,1.003
49,Syracuse,D1,1.165,0.989,0.849,1.025
50,Kentucky,D1,1.163,1.110,0.954,1.027
51,Boise St.,D1,1.161,1.024,0.882,1.008
52,Oklahoma St.,D1,1.161,1.067,0.920,1.001
53,St. Mary's (CA),D1,1.160,1.109,0.956,0.994
54,Minnesota,D1,1.159,1.151,0.993,0.999
55,Oregon,D1,1.154,1.117,0.968,0.999
56,Florida,D1,1.154,1.118,0.969,1.028
57,St. Bonaventure,D1,1.151,1.039,0.903,1.000
58,Illinois,D1,1.149,1.099,0.956,1.010
59,Rhode Island,D1,1.149,1.086,0.945,1.036
60,UNI,D1,1.148,0.934,0.814,1.020
61,Middle Tenn.,D1,1.146,1.087,0.948,1.029
62,Old Dominion,D1,1.146,0.976,0.852,0.981
63,South Dakota,D1,1.142,1.077,0.943,0.977
64,North Carolina St.,D1,1.134,1.159,1.022,0.989
65,Utah,D1,1.134,1.067,0.941,1.007
66,BYU,D1,1.127,1.058,0.938,1.003
67,Missouri St.,D1,1.124,1.027,0.914,1.001
68,Rutgers,D1,1.123,0.970,0.864,0.984
69,New Mexico St.,D1,1.121,1.027,0.916,1.013
70,Marquette,D1,1.117,1.122,1.004,1.008
71,UT Arlington,D1,1.116,1.065,0.954,0.994
72,Temple,D1,1.115,1.075,0.965,1.046
73,South Carolina,D1,1.113,1.019,0.916,1.006
74,UCLA,D1,1.111,1.130,1.017,1.022
75,UNCG,D1,1.107,0.960,0.867,0.978
76,Mississippi St.,D1,1.106,1.013,0.916,0.974
77,Alabama,D1,1.106,1.087,0.983,1.029
78,Wisconsin,D1,1.106,0.976,0.882,1.041
79,LSU,D1,1.104,1.125,1.019,0.997
80,Wake Forest,D1,1.104,1.096,0.993,1.018
81,Boston College,D1,1.100,1.053,0.957,0.994
82,Vanderbilt,D1,1.099,1.000,0.910,1.036
83,San Diego,D1,1.098,0.974,0.887,0.994
84,Fresno St.,D1,1.097,1.066,0.972,0.971
